input_size_mb,execution_time_sec,job_type
0.01,12,1 Reducer
0.1,13,1 Reducer
1,14,1 Reducer
10,21,1 Reducer
100,38,1 Reducer
1000,133,1 Reducer
2000,249,1 Reducer
0.01,11,2 Reducers
0.1,11,2 Reducers
1,16,2 Reducers
10,17,2 Reducers
100,41,2 Reducers
1000,163,2 Reducers
2000,267,2 Reducers
0.01,12,4 Reducers
0.1,17,4 Reducers
1,14,4 Reducers
10,22,4 Reducers
100,30,4 Reducers
1000,140,4 Reducers
2000,307,4 Reducers
0.01,23,8 Reducers
0.1,18,8 Reducers
1,25,8 Reducers
10,22,8 Reducers
100,33,8 Reducers
1000,146,8 Reducers
2000,283,8 Reducers
